"code","location","term","estimate","std.error","statistic","p.value","conf.low","conf.high","n_obs"
"CAF","Central African Republic","ext_pc_lag",0.0486146884619673,0.0304794341906674,1.59499970235185,0.126393582538955,-0.0149642971531103,0.112193674077045,22
"ETH","Ethiopia","ext_pc_lag",0.0586086494950146,0.0987608071208377,0.593440365704025,0.559538728901106,-0.147402784181527,0.264620083171556,22
"BDI","Burundi","ext_pc_lag",0.0631442796985658,0.0756243645447286,0.834972698001563,0.413596462059007,-0.0946053804644467,0.220893939861578,22
"CIV","Côte d'Ivoire","ext_pc_lag",0.0785640596723801,0.202897354421599,0.387210862834281,0.702689765595117,-0.344672405198022,0.501800524542782,22
"ZMB","Zambia","ext_pc_lag",0.109688685649592,0.0901005770514887,1.21740269861879,0.237620784303794,-0.0782578246573749,0.297635195956559,22
"KEN","Kenya","ext_pc_lag",0.13076541963005,0.0969197288282585,1.34921363494285,0.192345870197624,-0.0714055920246169,0.332936431284717,22
"COG","Congo","ext_pc_lag",0.139959076540532,0.419587663034927,0.333563373928088,0.742180892306753,-0.735285451474032,1.0152036045551,22
"ZAF","South Africa","ext_pc_lag",0.175361062098119,0.383572032030856,0.457178958459651,0.652469525970332,-0.624756176111739,0.975478300307976,22
"STP","Sao Tome and Principe","ext_pc_lag",0.177591990485401,0.123725613418421,1.43536965046042,0.166637233031078,-0.0804951165959728,0.435679097566775,22
"GAB","Gabon","ext_pc_lag",0.652176823180225,0.752006809720725,0.867248560451767,0.39609217562413,-0.916481893992224,2.22083554035267,22
"GNQ","Equatorial Guinea","ext_pc_lag",0.710209655915747,0.669970837675313,1.06006055185933,0.301751871799845,-0.687325022209049,2.10774433404054,22
"MUS","Mauritius","ext_pc_lag",0.823279794691526,1.0912383006959,0.754445471870361,0.459373607396885,-1.45300341281663,3.09956300219968,22
"SYC","Seychelles","ext_pc_lag",1.78187015859294,1.08071949457898,1.64878136050197,0.114812486849261,-0.472471203846459,4.03621152103233,22
