"code","location","term","estimate","std.error","statistic","p.value","conf.low","conf.high","n_obs"
"BGD","Bangladesh","ext_pc_lag",-0.722593556974355,0.307293333245593,-2.35147814416413,0.029060987961695,-1.36359621771315,-0.0815908962355598,22
"MDA","Republic of Moldova","ext_pc_lag",-0.713884868576902,0.506503233961466,-1.4094379279545,0.174066084788458,-1.77043210054247,0.342662363388667,22
"FJI","Fiji","ext_pc_lag",-0.698948030085737,0.504189049379435,-1.38628165555364,0.180922719888392,-1.75066795760296,0.352771897431489,22
"GHA","Ghana","ext_pc_lag",-0.693365607589007,0.251012516091331,-2.76227503865475,0.0120171631897211,-1.21696854096176,-0.169762674216257,22
"SUR","Suriname","ext_pc_lag",-0.640854332005092,1.8403968593097,-0.348215293219672,0.731316988406763,-4.47985490898803,3.19814624497785,22
"SDN","Sudan","ext_pc_lag",-0.513344037819,0.960508853671026,-0.534450084303773,0.599950863867749,-2.53984057994095,1.51315250430295,19
"KNA","Saint Kitts and Nevis","ext_pc_lag",-0.297684461900071,0.855532732214456,-0.347952159737414,0.731511590511428,-2.08229446923892,1.48692554543878,22
"GUY","Guyana","ext_pc_lag",-0.29685875113824,0.464061655681983,-0.639696789216462,0.529629935843624,-1.26487440216853,0.671156899892054,22
"JOR","Jordan","ext_pc_lag",-0.293351277669985,0.675613057229726,-0.434200130578942,0.66879127177532,-1.70265541954673,1.11595286420676,22
"MMR","Myanmar","ext_pc_lag",-0.273756660704147,0.232032702048364,-1.17981930257006,0.251915865812338,-0.757768395747366,0.210255074339073,22
"ZWE","Zimbabwe","ext_pc_lag",-0.252352374347451,0.555863907209754,-0.453982298678417,0.659535263203151,-1.4908943424184,0.986189593723496,12
"YEM","Yemen","ext_pc_lag",-0.228430705332276,0.169097676705673,-1.35088021185458,0.191820300583664,-0.581162277957891,0.124300867293338,22
"SWZ","Eswatini","ext_pc_lag",-0.226794430193885,0.149599588984994,-1.51600971454964,0.145163649820751,-0.538853704542579,0.08526484415481,22
"LAO","Lao People's Democratic Republic","ext_pc_lag",-0.215510623724362,0.129164835563092,-1.6684929979963,0.110798811774761,-0.484943749381078,0.0539225019323536,22
"NGA","Nigeria","ext_pc_lag",-0.191048714659846,0.144176454015893,-1.32510343636823,0.200077258765756,-0.491795527693407,0.109698098373715,22
"SOM","Somalia","ext_pc_lag",-0.18768288161657,0.114932598197534,-1.63298215267004,0.146491073910493,-0.459455290613029,0.0840895273798885,9
"NER","Niger","ext_pc_lag",-0.180404734074815,0.236363333720802,-0.763251775285558,0.454222925766116,-0.673450008490311,0.312640540340681,22
"LSO","Lesotho","ext_pc_lag",-0.172340381541623,0.0609622383817602,-2.82700219211746,0.010415333458787,-0.299505382469483,-0.0451753806137631,22
